id,comb,user,data,descrip,cite,query,topics
167,Artefacts from excavations of Viking Age sites,Gísli Pálsson,new_units_finds_iceland,Artefacts from excavations of Viking Age sites,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$or"" : [{ ""properties.project"" : ""Kumlabrekka"" }, { ""properties.project"" : ""Ingiríðastaðir"" }, { ""properties.project"" : ""Litlu-Núpar"" }] }] }, Fields: { }, Sort: { }","humans , saga narrative "
164,Feather artefacts,Gísli Pálsson,new_units_finds_iceland,Feather artefacts,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$and"" : [{ ""properties.finds.find_material"" : ""Feather"" }] }] }, Fields: { }, Sort: { }","avian , butchery , humans , production "
173,Wooden artefacts,Gísli Pálsson,new_units_finds_iceland,Wooden artefacts,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$and"" : [{ ""properties.finds.find_material"" : ""Wood"" }] }] }, Fields: { }, Sort: { }","woodland management , Wood and trees , humans , production "
162,Woolen artefacts,Gísli Pálsson,new_units_finds_iceland,Woolen artefacts,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$and"" : [{ ""properties.finds.find_material"" : ""Wool"" }] }] }, Fields: { }, Sort: { }","wool , humans , sheep , animal , animal husbandry , shearing , production "
153,Artefactual evidence for personal ornamentation,Gísli Pálsson,new_units_finds_iceland,Artefactual evidence for personal ornamentation,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$or"" : [{ ""properties.finds.find_interpretation"" : ""Buckle"" }, { ""properties.finds.find_interpretation"" : ""Brooch"" }, { ""properties.finds.find_interpretation"" : ""Mirror"" }, { ""properties.finds.find_interpretation"" : ""Ring"" }, { ""properties.finds.find_interpretation"" : ""Necklace"" }] }] }, Fields: { }, Sort: { }","gender , humans "
174,Artefacts from horse burials,Gísli Pálsson,new_units_finds_iceland,Artefacts from horse burials,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$and"" : [{ ""properties.unit_description"" : { ""$regex"" : ""horse"", ""$options"" : ""m"" } }] }] }, Fields: { }, Sort: { }","horse , interred animal , humans , burial "
163,Evidence for woolworking from artefacts,Gísli Pálsson,new_units_finds_iceland,Evidence for woolworking from artefacts,Evidence for woolworking from artefacts,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$or"" : [{ ""properties.finds.find_interpretation"" : ""Loomweight"" }, { ""properties.finds.find_interpretation"" : ""Spindle Whorl"" }] }] }, Fields: { }, Sort: { }","wool , humans , sheep , animal , animal husbandry , shearing , production "
154,Finds from building contexts,Gísli Pálsson,new_units_finds_iceland,Finds from building contexts,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$and"" : [{ ""properties.unit_description"" : { ""$regex"" : ""building"", ""$options"" : ""m"" } }] }] }, Fields: { }, Sort: { }","shared spaces , socializing , humans , production , building "
168,Artefactual evidence for writing,Gísli Pálsson,new_units_finds_iceland,Artefactual evidence for writing,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$or"" : [{ ""properties.finds.find_interpretation"" : ""Inkwell"" }, { ""properties.finds.find_interpretation"" : ""Writing implement"" }] }] }, Fields: { }, Sort: { }","humans , Power , Ecclesiastical Power , stories , written work , recording "
165,Artefactual evidence for arms.,Gísli Pálsson,new_units_finds_iceland,Artefactual evidence for arms. Weapons are often found in Viking Age burials.,,"Query: { ""$and"" : [{ ""source"" : ""new_units_finds_iceland"" }, { ""$or"" : [{ ""properties.finds.find_interpretation"" : ""Sword"" }, { ""properties.finds.find_interpretation"" : ""Spear"" }, { ""properties.finds.find_interpretation"" : ""Scabbard"" }] }] }, Fields: { }, Sort: { }","Power , dead human , burial "
